#Date,TotalDistance
2026/06/03 13:15:03,2398.1
#Screen_X,Screen_Y,GazeDataCount
1920,1080,178
#GameTime,Gaze_X,Gaze_Y
2.76,961,73
2.76,961,73
2.78,961,73
2.78,961,73
2.80,961,73
2.80,961,73
2.82,961,73
2.82,961,73
2.84,961,73
2.84,961,73
2.86,961,73
2.86,961,73
2.88,961,73
2.88,961,73
2.90,961,73
2.90,961,73
2.92,961,73
2.92,961,73
2.94,961,73
2.94,961,73
2.96,961,73
2.96,961,73
2.98,961,73
2.98,961,73
3.00,967,79
3.00,967,79
3.02,978,90
3.02,978,90
3.04,995,110
3.04,995,110
3.06,1012,139
3.06,1012,139
3.08,1024,167
3.08,1024,167
3.10,1032,201
3.10,1032,201
3.12,1055,255
3.12,1055,255
3.14,1078,309
3.14,1078,309
3.16,1126,366
3.16,1126,366
3.18,1163,402
3.18,1163,402
3.20,1185,434
3.20,1185,434
3.22,1197,462
3.22,1197,462
3.24,1200,485
3.24,1200,485
3.26,1202,510
3.26,1202,510
3.28,1202,530
3.28,1202,530
3.30,1202,547
3.30,1202,547
3.32,1197,570
3.32,1197,570
3.34,1188,590
3.34,1188,590
3.36,1171,612
3.36,1171,612
3.38,1149,641
3.38,1149,641
3.40,1117,672
3.40,1117,672
3.42,1078,695
3.42,1078,695
3.44,1038,720
3.44,1038,720
3.46,1012,737
3.46,1012,737
3.48,987,748
3.48,987,748
3.50,956,760
3.50,956,760
3.52,927,771
3.52,927,771
3.54,905,777
3.54,905,777
3.56,874,782
3.56,874,782
3.58,839,791
3.58,839,791
3.60,797,797
3.60,797,797
3.62,752,802
3.62,752,802
3.64,703,805
3.64,703,805
3.66,655,805
3.66,655,805
3.68,613,805
3.68,613,805
3.70,576,797
3.70,576,797
3.72,547,788
3.72,547,788
3.74,522,771
3.74,522,771
3.76,493,740
3.76,493,740
3.78,462,695
3.78,462,695
3.80,440,638
3.80,440,638
3.82,431,567
3.82,431,567
3.84,442,530
3.84,442,530
3.86,465,485
3.86,465,485
3.88,502,445
3.88,502,445
3.90,547,405
3.90,547,405
3.92,610,374
3.92,610,374
3.94,655,357
3.94,655,357
3.96,701,346
3.96,701,346
3.98,743,334
3.98,743,334
4.00,780,334
4.00,780,334
4.02,808,334
4.02,808,334
4.04,848,334
4.04,848,334
4.06,899,334
4.06,899,334
4.08,933,332
4.08,933,332
4.10,947,323
4.10,947,323
4.12,953,320
4.12,953,320
4.14,961,306
4.14,961,306
4.16,970,283
4.16,970,283
4.18,978,255
4.18,978,255
4.20,984,221
4.20,984,221
4.22,984,193
4.22,984,193
4.24,984,164
4.24,984,164
4.26,984,144
4.26,984,144
4.28,978,136
4.28,978,136
4.30,978,136
4.30,978,136
4.32,978,133
4.32,978,133
4.34,973,122
4.34,973,122
4.36,973,119
4.36,973,119
4.38,973,119
4.38,973,119
4.40,973,119
4.40,973,119
4.42,973,119
4.42,973,119
4.44,973,119
4.44,973,119
4.46,973,119
4.46,973,119
4.48,973,119
4.48,973,119
4.50,973,119
4.50,973,119
4.52,973,119
4.52,973,119
